Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193342,C0516.0000R,2024-02-21,2138.0399999999995,170.3,73.0,25.7,1876.1,21.061,123694,180,0,0,0,24,0,0,0,0,0,1,3,0,1,7,0,0,0,0
193342,C0516.0000R,2024-02-22,2126.3199999999997,171.2,107.6,28.1,3023.56,21.936,129090,296,0,0,0,51,3,0,1,0,4,9,45,0,0,10,1,2,6,0
193342,C0516.0000R,2024-02-23,2128.559999999999,170.5,133.5,33.2,4432.200000000001,21.52,126728,217,0,0,0,40,0,0,0,0,1,12,41,0,7,1,15,6,0,0
193342,C0516.0000R,2024-02-24,2128.2999999999984,169.8,131.4,33.7,4428.18,21.562,126718,211,0,0,0,64,3,0,0,0,9,6,40,0,13,10,11,1,0,0
193342,C0516.0000R,2024-02-25,2127.9499999999985,170.5,127.1,34.4,4372.24,21.593,126714,198,0,0,0,66,1,0,0,0,18,3,41,0,9,2,2,0,3,1
193342,C0516.0000R,2024-02-26,2127.699999999998,170.4,123.9,34.7,4299.330000000001,21.55,126718,170,0,0,2,64,0,0,1,0,7,2,35,0,7,0,2,0,0,2
193342,C0516.0000R,2024-02-27,2128.149999999999,170.3,86.3,25.2,2174.7599999999998,21.376,126718,195,0,0,0,35,0,0,0,0,15,6,19,0,3,1,18,0,1,0
193342,C0516.0000R,2024-02-28,2123.6099999999983,169.6,121.2,35.3,4278.36,21.454,126716,177,0,0,0,59,0,0,0,0,16,8,21,0,6,0,4,0,0,1
193342,C0516.0000R,2024-02-29,2123.47,169.2,119.9,35.7,4280.43,21.427,126718,191,0,0,0,72,3,0,0,0,8,18,20,0,7,1,11,0,0,3
193342,C0516.0000R,2024-03-01,2114.099999999999,169.6,124.0,34.8,4315.2,21.466,126716,168,0,0,0,65,3,0,0,0,18,7,10,0,7,0,0,0,4,0
193342,C0516.0000R,2024-03-02,2114.3299999999995,169.5,122.7,34.2,4196.34,21.519,126716,192,0,0,0,70,1,0,0,0,7,6,20,0,7,0,2,2,2,0
193342,C0516.0000R,2024-03-03,2122.499999999999,169.5,123.2,34.1,4201.12,20.581,121440,183,0,0,0,50,0,0,0,0,18,7,18,0,15,0,10,0,1,0
193342,C0516.0000R,2024-03-04,2122.3499999999985,169.6,120.2,34.2,4110.84,20.58,121436,161,0,0,0,45,1,0,0,0,24,8,22,0,4,4,0,0,0,0
193342,C0516.0000R,2024-03-05,2124.2099999999987,169.6,116.5,34.7,4042.55,21.427,126716,162,0,0,0,73,1,0,0,0,13,2,21,0,9,6,1,0,0,0
193342,C0516.0000R,2024-03-06,2125.6099999999988,169.5,115.0,35.0,4025.0,21.506,126716,135,0,0,0,42,4,0,1,0,16,4,25,0,6,5,1,0,1,0
193342,C0516.0000R,2024-03-07,2123.329999999999,170.1,113.8,35.1,3994.38,21.527,126718,184,0,0,0,77,0,0,0,0,28,1,26,0,6,4,1,0,2,0
